==================================================
Gacha Simulation Results
==================================================
Target Type: pulls
Max Pulls per Sim: 8,580
Pulls Ratio: 4-1-4-1
Total Simulations: 10,000,000

--------------------------------------------------
Distribution for: Gold
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
118        | 3               | 0.00003000%
119        | 21              | 0.00021000%
120        | 70              | 0.00070000%
121        | 255             | 0.00255000%
122        | 863             | 0.00863000%
123        | 2,453           | 0.02453000%
124        | 6,264           | 0.06264000%
125        | 14,143          | 0.14143000%
126        | 29,834          | 0.29834000%
127        | 57,098          | 0.57098000%
128        | 100,421         | 1.00421000%
129        | 164,487         | 1.64487000%
130        | 250,620         | 2.50620000%
131        | 357,199         | 3.57199000%
132        | 476,872         | 4.76872000%
133        | 598,971         | 5.98971000%
134        | 711,245         | 7.11245000%
135        | 800,274         | 8.00274000%
136        | 856,587         | 8.56587000%
137        | 871,540         | 8.71540000%
138        | 843,534         | 8.43534000%
139        | 780,799         | 7.80799000%
140        | 693,283         | 6.93283000%
141        | 591,049         | 5.91049000%
142        | 482,620         | 4.82620000%
143        | 380,626         | 3.80626000%
144        | 289,853         | 2.89853000%
145        | 211,290         | 2.11290000%
146        | 148,583         | 1.48583000%
147        | 102,469         | 1.02469000%
148        | 68,274          | 0.68274000%
149        | 43,773          | 0.43773000%
150        | 26,714          | 0.26714000%
151        | 16,386          | 0.16386000%
152        | 9,452           | 0.09452000%
153        | 5,611           | 0.05611000%
154        | 2,985           | 0.02985000%
155        | 1,710           | 0.01710000%
156        | 872             | 0.00872000%
157        | 464             | 0.00464000%
158        | 239             | 0.00239000%
159        | 103             | 0.00103000%
160        | 52              | 0.00052000%
161        | 24              | 0.00024000%
162        | 8               | 0.00008000%
163        | 3               | 0.00003000%
164        | 2               | 0.00002000%
165        | 1               | 0.00001000%
167        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
71         | 1               | 0.00001000%
72         | 6               | 0.00006000%
73         | 16              | 0.00016000%
74         | 85              | 0.00085000%
75         | 251             | 0.00251000%
76         | 808             | 0.00808000%
77         | 2,089           | 0.02089000%
78         | 5,263           | 0.05263000%
79         | 11,800          | 0.11800000%
80         | 24,751          | 0.24751000%
81         | 47,548          | 0.47548000%
82         | 85,742          | 0.85742000%
83         | 142,585         | 1.42585000%
84         | 222,442         | 2.22442000%
85         | 324,066         | 3.24066000%
86         | 443,896         | 4.43896000%
87         | 573,023         | 5.73023000%
88         | 698,121         | 6.98121000%
89         | 803,587         | 8.03587000%
90         | 871,185         | 8.71185000%
91         | 901,739         | 9.01739000%
92         | 883,126         | 8.83126000%
93         | 824,569         | 8.24569000%
94         | 732,894         | 7.32894000%
95         | 621,740         | 6.21740000%
96         | 505,275         | 5.05275000%
97         | 392,428         | 3.92428000%
98         | 293,041         | 2.93041000%
99         | 208,506         | 2.08506000%
100        | 141,955         | 1.41955000%
101        | 93,893          | 0.93893000%
102        | 59,660          | 0.59660000%
103        | 36,555          | 0.36555000%
104        | 21,444          | 0.21444000%
105        | 12,110          | 0.12110000%
106        | 6,796           | 0.06796000%
107        | 3,562           | 0.03562000%
108        | 1,766           | 0.01766000%
109        | 898             | 0.00898000%
110        | 434             | 0.00434000%
111        | 181             | 0.00181000%
112        | 89              | 0.00089000%
113        | 42              | 0.00042000%
114        | 13              | 0.00013000%
115        | 9               | 0.00009000%
116        | 5               | 0.00005000%
117        | 4               | 0.00004000%
118        | 1               | 0.00001000%

--------------------------------------------------
Distribution for: Non-UP
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
27         | 1               | 0.00001000%
28         | 6               | 0.00006000%
29         | 24              | 0.00024000%
30         | 69              | 0.00069000%
31         | 238             | 0.00238000%
32         | 669             | 0.00669000%
33         | 1,805           | 0.01805000%
34         | 4,682           | 0.04682000%
35         | 11,234          | 0.11234000%
36         | 24,801          | 0.24801000%
37         | 50,798          | 0.50798000%
38         | 97,195          | 0.97195000%
39         | 172,981         | 1.72981000%
40         | 283,935         | 2.83935000%
41         | 433,368         | 4.33368000%
42         | 611,366         | 6.11366000%
43         | 800,989         | 8.00989000%
44         | 970,344         | 9.70344000%
45         | 1,086,999       | 10.86999000%
46         | 1,124,245       | 11.24245000%
47         | 1,074,312       | 10.74312000%
48         | 945,453         | 9.45453000%
49         | 770,432         | 7.70432000%
50         | 577,943         | 5.77943000%
51         | 399,644         | 3.99644000%
52         | 254,769         | 2.54769000%
53         | 149,784         | 1.49784000%
54         | 80,938          | 0.80938000%
55         | 40,165          | 0.40165000%
56         | 18,551          | 0.18551000%
57         | 7,791           | 0.07791000%
58         | 2,968           | 0.02968000%
59         | 994             | 0.00994000%
60         | 369             | 0.00369000%
61         | 97              | 0.00097000%
62         | 31              | 0.00031000%
63         | 10              | 0.00010000%

--------------------------------------------------
Distribution for: Special_Items
--------------------------------------------------
Count      | Simulations     | Percentage (%)
--------------------------------------------------
0          | 58,612          | 0.58612000%
1          | 179,397         | 1.79397000%
2          | 386,887         | 3.86887000%
3          | 663,303         | 6.63303000%
4          | 956,011         | 9.56011000%
5          | 1,191,258       | 11.91258000%
6          | 1,315,813       | 13.15813000%
7          | 1,301,662       | 13.01662000%
8          | 1,160,821       | 11.60821000%
9          | 945,032         | 9.45032000%
10         | 701,536         | 7.01536000%
11         | 480,880         | 4.80880000%
12         | 302,999         | 3.02999000%
13         | 176,228         | 1.76228000%
14         | 94,738          | 0.94738000%
15         | 47,276          | 0.47276000%
16         | 21,908          | 0.21908000%
17         | 9,570           | 0.09570000%
18         | 3,859           | 0.03859000%
